Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
F,Salahdine Parnasse (43990065),Salahdine Parnasse,43990065,F,9500,Parnasse@Hooker 09/05/2026 04:40PM ET,Parnasse,0,
F,Kurtis Campbell (43990061),Kurtis Campbell,43990061,F,9300,Peek@Campbell 09/05/2026 03:20PM ET,Campbell,20.3,
F,Losene Keita (43990072),Losene Keita,43990072,F,9200,Naimov@Keita 09/05/2026 03:00PM ET,Keita,20.8,
F,Nathaniel Wood (44034647),Nathaniel Wood,44034647,F,9200,Andrusca@Wood 09/05/2026 01:20PM ET,Wood,78.6,
F,Mario Pinto (43990063),Mario Pinto,43990063,F,9100,Spann@Pinto 09/05/2026 02:00PM ET,Pinto,99.5,
F,Daniil Donchenko (43990082),Daniil Donchenko,43990082,F,9000,Soriano@Donchenko 09/05/2026 03:40PM ET,Donchenko,111.2,
F,Felipe Lima (43990067),Felipe Lima,43990067,F,8900,Lima@Charriere 09/05/2026 02:20PM ET,Lima,57.9,
F,Oumar Sy (43990075),Oumar Sy,43990075,F,8800,Bukauskas@Sy 09/05/2026 01:40PM ET,Sy,66.5,
F,Michael Page (43990059),Michael Page,43990059,F,8700,Ruziboev@Page 09/05/2026 04:00PM ET,Page,41.2,
F,Fares Ziam (43990071),Fares Ziam,43990071,F,8600,Sola@Ziam 09/05/2026 04:20PM ET,Ziam,66.9,
F,Delphine Benouaich (43990079),Delphine Benouaich,43990079,F,8500,Montenegro@Benouaich 09/05/2026 12:00PM ET,Benouaich,0,
F,Michael Aljarouj (43990081),Michael Aljarouj,43990081,F,8400,Sintes@Aljarouj 09/05/2026 01:00PM ET,Aljarouj,0,
F,Nora Cornolle (43990076),Nora Cornolle,43990076,F,8300,Sygula@Cornolle 09/05/2026 12:40PM ET,Cornolle,54.9,
F,Matthieu Duclos (43990068),Matthieu Duclos,43990068,F,8200,Dias@Duclos 09/05/2026 12:20PM ET,Duclos,0,
F,Luis Felipe Dias (43990069),Luis Felipe Dias,43990069,F,8000,Dias@Duclos 09/05/2026 12:20PM ET,Dias,108.5,
F,Klaudia Sygula (43990077),Klaudia Sygula,43990077,F,7900,Sygula@Cornolle 09/05/2026 12:40PM ET,Sygula,63.7,
F,Fabia Sintes (43990080),Fabia Sintes,43990080,F,7800,Sintes@Aljarouj 09/05/2026 01:00PM ET,Sintes,0,
F,Sofia Montenegro (43990078),Sofia Montenegro,43990078,F,7700,Montenegro@Benouaich 09/05/2026 12:00PM ET,Montenegro,0,
F,Axel Sola (43990070),Axel Sola,43990070,F,7600,Sola@Ziam 09/05/2026 04:20PM ET,Sola,85.5,
F,Nursulton Ruziboev (43990058),Nursulton Ruziboev,43990058,F,7500,Ruziboev@Page 09/05/2026 04:00PM ET,Ruziboev,83.2,
F,Modestas Bukauskas (43990074),Modestas Bukauskas,43990074,F,7400,Bukauskas@Sy 09/05/2026 01:40PM ET,Bukauskas,50.8,
F,Morgan Charriere (43990066),Morgan Charriere,43990066,F,7300,Lima@Charriere 09/05/2026 02:20PM ET,Charriere,66.4,
F,Punahele Soriano (43990083),Punahele Soriano,43990083,F,7200,Soriano@Donchenko 09/05/2026 03:40PM ET,Soriano,83.1,
F,Ryan Spann (43990062),Ryan Spann,43990062,F,7100,Spann@Pinto 09/05/2026 02:00PM ET,Spann,63.9,
F,Muhammad Naimov (43990073),Muhammad Naimov,43990073,F,7000,Naimov@Keita 09/05/2026 03:00PM ET,Naimov,68.7,
F,Pavel Andrusca (44034646),Pavel Andrusca,44034646,F,7000,Andrusca@Wood 09/05/2026 01:20PM ET,Andrusca,0,
F,Trevor Peek (43990060),Trevor Peek,43990060,F,6900,Peek@Campbell 09/05/2026 03:20PM ET,Peek,62.4,
F,Dan Hooker (43990064),Dan Hooker,43990064,F,6700,Parnasse@Hooker 09/05/2026 04:40PM ET,Hooker,68.6,
